date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:36	373/373	---M-Z	200	added ('OK')	text/xml	etag:%2203a3f20c1b4d51:0%22	https://kb.dubaided.gov.ae/kb/free%20zones_files/filelist.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/filelist.xml	(from https://kb.dubaided.gov.ae/kb/free%20zones.htm)
14:45:36	33376/33376	---M--	200	added ('OK')	application/x-msmetafile	etag:%2203a3f20c1b4d51:0%22	https://kb.dubaided.gov.ae/kb/free%20zones_files/preview.wmf	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/preview.wmf	(from https://kb.dubaided.gov.ae/kb/free%20zones.htm)
14:45:37	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Dec%202021%2010:45:36%20GMT	https://kb.dubaided.gov.ae/kb/free%20zones_files/editdata.mso	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/editdata.30.delayed	(from https://kb.dubaided.gov.ae/kb/free%20zones.htm)
14:45:37	270/270	---M-Z	200	added ('OK')	text/xml	etag:%2203a3f20c1b4d51:0%22	https://kb.dubaided.gov.ae/kb/free%20zones_files/item0008.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/item0008.xml	(from https://kb.dubaided.gov.ae/kb/free%20zones.htm)
14:45:37	3086/3086	---M--	200	added ('OK')	application/vnd.ms-officetheme	etag:%2203a3f20c1b4d51:0%22	https://kb.dubaided.gov.ae/kb/free%20zones_files/themedata.thmx	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/themedata.thmx	(from https://kb.dubaided.gov.ae/kb/free%20zones.htm)
14:45:38	314/314	---M-Z	200	added ('OK')	text/xml	etag:%2203a3f20c1b4d51:0%22	https://kb.dubaided.gov.ae/kb/free%20zones_files/colorschememapping.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/colorschememapping.xml	(from https://kb.dubaided.gov.ae/kb/free%20zones.htm)
14:45:38	1899/1899	---M--	200	added ('OK')	image/jpeg	etag:%2203a3f20c1b4d51:0%22	https://kb.dubaided.gov.ae/kb/free%20zones_files/image002.jpg	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/image002.jpg	(from https://kb.dubaided.gov.ae/kb/free%20zones.htm)
14:45:38	242/242	---M-Z	200	added ('OK')	text/xml	etag:%22828981d54bed71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/interface_files/filelist.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/interface_files/filelist.xml	(from https://kb.dubaided.gov.ae/consumer%20protection/interface.htm)
14:45:39	9874/9874	---M--	200	added ('OK')	application/x-msmetafile	etag:%2285aa961d54bed71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/interface_files/preview.wmf	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/interface_files/preview.wmf	(from https://kb.dubaided.gov.ae/consumer%20protection/interface.htm)
14:45:39	3339/3339	---M--	200	added ('OK')	application/vnd.ms-officetheme	etag:%2266e3961d54bed71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/interface_files/themedata.thmx	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/interface_files/themedata.thmx	(from https://kb.dubaided.gov.ae/consumer%20protection/interface.htm)
