date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:09	3086/3086	U-----	200	untouched ('')	application/vnd.ms-officetheme	etag:%227b6cd527fbadd71:0%22	https://kb.dubaided.gov.ae/kb/right11_files/themedata.thmx	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/right11_files/themedata.thmx	(from https://kb.dubaided.gov.ae/kb/right11.htm)
15:01:10	222/222	--FM--	200	added ('OK')	application/xml		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_English_files/filelist.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_English_files/filelist.xml	(from )
15:01:10	3134/3134	--FM--	200	added ('OK')	application/thmx		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_English_files/themedata.thmx	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_English_files/themedata.thmx	(from )
15:01:10	314/314	--FM--	200	added ('OK')	application/xml		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_English_files/colorschememapping.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_English_files/colorschememapping.xml	(from )
15:01:26	314/314	U-----	200	untouched ('')	text/xml	etag:%22b390d527fbadd71:0%22	https://kb.dubaided.gov.ae/kb/right11_files/colorschememapping.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/right11_files/colorschememapping.xml	(from https://kb.dubaided.gov.ae/kb/right11.htm)
15:01:27	63088/63088	U-----	200	untouched ('OK')	text/html	etag:%224f83d291918d41:0%22	https://kb.dubaided.gov.ae/FDI/FDI_Services_Arabic.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_Arabic.html	(from https://kb.dubaided.gov.ae/kb/right11.htm)
15:01:27	58303/58303	U-----	200	untouched ('OK')	text/html	etag:%2273e1971d54bed71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/interface.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/interface.html	(from https://kb.dubaided.gov.ae/kb/right11.htm)
15:01:27	246/246	U-----	200	untouched ('')	text/xml	etag:%22629c76f053bed71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/interface%20E_files/filelist.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/interface%20E_files/filelist.xml	(from https://kb.dubaided.gov.ae/consumer%20protection/interface%20E.htm)
15:01:43	5776/5776	U-----	200	untouched ('')	application/x-msmetafile	etag:%2284a973f053bed71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/interface%20E_files/preview.wmf	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/interface%20E_files/preview.wmf	(from https://kb.dubaided.gov.ae/consumer%20protection/interface%20E.htm)
15:01:43	3339/3339	U-----	200	untouched ('')	application/vnd.ms-officetheme	etag:%229be873f053bed71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/interface%20E_files/themedata.thmx	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/interface%20E_files/themedata.thmx	(from https://kb.dubaided.gov.ae/consumer%20protection/interface%20E.htm)
